"Seller","Make","Price","ZIP","City","State","Class","Year","Length","Category","Hull.Material","Engine.Type","age"
"River Valley Power & Sport - Red Wing","Sea-Doo",4999,"55066 ","Red Wing","MN","PWC",2014,120," Personal Watercraft","Other","Other",5
"River Valley Power and Sports - Rochester","Sea-Doo",4999,"55901 ","Rochester","MN","PWC",2014,120," Personal Watercraft","Other","Other",5
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",4999,"55391 ","Wayzata","MN","PWC",2014,120," Personal Watercraft","Other","Other",5
"Nashville Yacht Brokers, Inc.","Sumerset",499000,"37219 ","Nashville","TN","PWC",2005,120," House Boats","Aluminum","Other",14
"Denison Yachting - Denison Yachting","Denison",845000,"33316 ","Fort Lauderdale","FL","Power",1986,120," Pilothouse, Motor Yachts, Mega Yachts","Aluminum","Other",33
"Denison Yachting - Denison Yachting","Intermarine",3950000,"33316 ","Fort Lauderdale","FL","Power",1998,119," Motor Yachts","Composite","Twin Inboard",21
"A & M Yacht Sales, Inc - A & M Yacht Sales, Inc - New Orleans","Swiftships",2800000,"70124 ","New Orleans","LA","Power",2001,118," Motor Yachts, Pilothouse","Aluminum","Other",18
"Northrop and Johnson - Northrop and Johnson San Diego, CA","Westport",3495000,"92106 ","San Diego","CA","Power",1999,118," Motor Yachts","Fiberglass","Other",20
"Apollo Yachts - Apollo Yachts","AB",1.4e+07,"33131 ","Miami","FL","Power",2012,118," Jet Boats, Mega Yachts","Composite","Other",7
"Northrop and Johnson - Northrop and Johnson San Diego, CA","Christensen",3750000,"92106 ","San Diego","CA","Power",1990,118," Motor Yachts","Other","Other",29
"Allied Marine - Allied Marine - Fort Lauderdale - Bahia Mar","Crescent",4200000,"33316 ","Fort Lauderdale","FL","Power",1995,116," Motor Yachts","Fiberglass","Twin Inboard",24
"Northrop and Johnson - Northrop and Johnson Newport Beach, CA","Crescent",3950000,"92663 ","Newport Beach","CA","Power",1994,115," Motor Yachts, Pilothouse","Fiberglass","Twin Inboard",25
"Allied Marine - Allied Marine - Fort Lauderdale - Bahia Mar","Westport",4200000,"33316 ","Fort Lauderdale","FL","Power",1995,115," Motor Yachts","Aluminum","Other",24
"Northrop and Johnson - Northrop and Johnson Yachts-Ships, Inc","Broward",1995000,"33315 ","Fort Lauderdale","FL","Power",1995,115," Motor Yachts","Fiberglass","Other",24
"Emerald Pacific Yachts - SEATTLE - South Lake Union","Nordlund",5999000,"98109 ","Seattle","WA","Power",2003,115," Pilothouse, Motor Yachts","Composite","Twin Inboard",16
"The Shoreline Yacht Group - The Shoreline Yacht Group","Dragos",2475000,"90731 ","San Pedro","CA","Power",2000,114," Mega Yachts, Motor Yachts","Aluminum","Twin Inboard",19
"Denison Yachting - Denison Yachting - Stuart","Benetti",649000,"34994 ","Stuart","FL","Power",1983,114," Motor Yachts","Fiberglass","Other",36
"HMY Yacht Sales, Inc. - HMY Yacht Sales - Soverel Harbour Marina","Leopard",4995000,"33410 ","Palm Beach Gardens","FL","Power",2008,113," Motor Yachts","Composite","Twin Inboard",11
"Rick Obey Yacht Sales - Rick Obey Yacht Sales","Sunseeker",5999000,"33312 ","Fort Lauderdale","FL","Power",2011,112," Mega Yachts","Aluminum","Other",8
"Sprigg Yacht Consulting LLC - Sprigg Yacht Consulting LLC","Westport",6375000,"34145 ","Marco Island","FL","Power",2008,112," Motor Yachts, Mega Yachts","Fiberglass","Twin Inboard",11
"C. Nicklaus Starling & Associates LLC","Westport",6850000,"33408 ","North Palm Beach","FL","Power",2009,112," Motor Yachts","Aluminum","Twin Inboard",10
"Denison Yachting - Denison Yachting - Palm Beach","Broward",2799000,"33410 ","Palm Beach Gardens","FL","Power",2004,112," Motor Yachts","Aluminum","Twin Inboard",15
"Northrop and Johnson - Northrop and Johnson Yachts-Ships, Inc","Broward",999000,"33315 ","Fort Lauderdale","FL","Power",1983,112," Motor Yachts","Steel","Other",36
"WORLDWIDE YACHT SALES INC. - WORLDWIDE YACHT SALES INC.","Custom",279945,"33904 ","Cape Coral","FL","Power",1956,110," Tug","Fiberglass","Twin Inboard",63
